"ACTV_COUNT","DATASOURCE_NUM_ID","DS_NAME","YR_MTH","ACCNT_NAME","LEGACY_ACC","WU_EMAIL","USER_NAME","WU_LOGIN_ID"
29,11,"UNI","2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
13,14,"CHB","2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
31,11,"UNI","2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
23,11,"UNI","2018 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
28,11,"UNI","2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
1,14,"CHB","2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
39,11,"UNI","2018 / 12","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
2,14,"CHB","2019 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
3,24,"AUR","2019 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
5,14,"CHB","2019 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
5,24,"AUR","2019 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","gebw gebw","GEBW@473952"
