"ACTV_COUNT","DS_NAME","DT_WID","ROW_WID","YR_MTH","ACCNT_NAME","LEGACY_ACC","WU_EMAIL","USER_NAME","WU_LOGIN_ID"
1,"CHB",20180830,6476143455,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180831,6133448370,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180831,6476034211,"2018 / 08","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20180911,6133512976,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180911,6475975253,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20180913,6133516444,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180913,6475801803,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20180914,6133525324,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180914,6133829932,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20180914,6475739885,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180917,6133518252,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180917,6476081970,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
6,"UNI",20180918,6133515638,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180918,6133524740,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
4,"CHB",20180918,6476186837,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
6,"UNI",20180919,6133523620,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
6,"CHB",20180919,6476018177,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20180920,6133522456,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20180920,6475843169,"2018 / 09","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
